 Problem ,Equation,Solution,Class
एक डिब्बे में 196 सेब हैं। ऐसे 106 डिब्बों में कुल कितने सेब होंगे?,196 * 106,20776,Multiplication
राम के पास 170 आम हैं और श्याम के पास 106 आम हैं। कुल कितने आम हैं?,170 + 106,276,Addition
राम के पास 34 आम हैं और श्याम के पास 190 आम हैं। कुल कितने आम हैं?,34 + 190,224,Addition
52 बच्चों में 13 चॉकलेट बराबर बाँटी गईं। हर बच्चे को कितनी चॉकलेट मिली?,52 ÷ 13,4,Division
एक डिब्बे में 21 सेब हैं। ऐसे 94 डिब्बों में कुल कितने सेब होंगे?,21 * 94,1974,Multiplication
"एक खेत में 182 गायें थीं, 106 गायें बेच दी गईं। अब कितनी बचीं?",182 - 106,76,Subtraction
एक डिब्बे में 81 सेब हैं। ऐसे 40 डिब्बों में कुल कितने सेब होंगे?,81 * 40,3240,Multiplication
154 बच्चों में 11 चॉकलेट बराबर बाँटी गईं। हर बच्चे को कितनी चॉकलेट मिली?,154 ÷ 11,14,Division
352 बच्चों में 11 चॉकलेट बराबर बाँटी गईं। हर बच्चे को कितनी चॉकलेट मिली?,352 ÷ 11,32,Division
8 बच्चों में 1 चॉकलेट बराबर बाँटी गईं। हर बच्चे को कितनी चॉकलेट मिली?,8 ÷ 1,8,Division
राम के पास 96 आम हैं और श्याम के पास 149 आम हैं। कुल कितने आम हैं?,96 + 149,245,Addition
92 बच्चों में 2 चॉकलेट बराबर बाँटी गईं। हर बच्चे को कितनी चॉकलेट मिली?,92 ÷ 2,46,Division
राम के पास 16 आम हैं और श्याम के पास 113 आम हैं। कुल कितने आम हैं?,16 + 113,129,Addition
राम के पास 79 आम हैं और श्याम के पास 104 आम हैं। कुल कितने आम हैं?,79 + 104,183,Addition
एक डिब्बे में 61 सेब हैं। ऐसे 154 डिब्बों में कुल कितने सेब होंगे?,61 * 154,9394,Multiplication
2 बच्चों में 2 चॉकलेट बराबर बाँटी गईं। हर बच्चे को कितनी चॉकलेट मिली?,2 ÷ 2,1,Division
एक डिब्बे में 84 सेब हैं। ऐसे 127 डिब्बों में कुल कितने सेब होंगे?,84 * 127,10668,Multiplication
राम के पास 198 आम हैं और श्याम के पास 53 आम हैं। कुल कितने आम हैं?,198 + 53,251,Addition
एक डिब्बे में 26 सेब हैं। ऐसे 189 डिब्बों में कुल कितने सेब होंगे?,26 * 189,4914,Multiplication
एक डिब्बे में 122 सेब हैं। ऐसे 38 डिब्बों में कुल कितने सेब होंगे?,122 * 38,4636,Multiplication
राम के पास 47 आम हैं और श्याम के पास 9 आम हैं। कुल कितने आम हैं?,47 + 9,56,Addition
एक डिब्बे में 5 सेब हैं। ऐसे 55 डिब्बों में कुल कितने सेब होंगे?,5 * 55,275,Multiplication
84 बच्चों में 7 चॉकलेट बराबर बाँटी गईं। हर बच्चे को कितनी चॉकलेट मिली?,84 ÷ 7,12,Division
"एक खेत में 163 गायें थीं, 56 गायें बेच दी गईं। अब कितनी बचीं?",163 - 56,107,Subtraction
एक डिब्बे में 93 सेब हैं। ऐसे 35 डिब्बों में कुल कितने सेब होंगे?,93 * 35,3255,Multiplication
एक डिब्बे में 7 सेब हैं। ऐसे 24 डिब्बों में कुल कितने सेब होंगे?,7 * 24,168,Multiplication
राम के पास 128 आम हैं और श्याम के पास 144 आम हैं। कुल कितने आम हैं?,128 + 144,272,Addition
"एक खेत में 167 गायें थीं, 31 गायें बेच दी गईं। अब कितनी बचीं?",167 - 31,136,Subtraction
560 बच्चों में 20 चॉकलेट बराबर बाँटी गईं। हर बच्चे को कितनी चॉकलेट मिली?,560 ÷ 20,28,Division
राम के पास 105 आम हैं और श्याम के पास 157 आम हैं। कुल कितने आम हैं?,105 + 157,262,Addition
"एक खेत में 166 गायें थीं, 77 गायें बेच दी गईं। अब कितनी बचीं?",166 - 77,89,Subtraction
"एक खेत में 191 गायें थीं, 152 गायें बेच दी गईं। अब कितनी बचीं?",191 - 152,39,Subtraction
राम के पास 82 आम हैं और श्याम के पास 74 आम हैं। कुल कितने आम हैं?,82 + 74,156,Addition
"एक खेत में 83 गायें थीं, 30 गायें बेच दी गईं। अब कितनी बचीं?",83 - 30,53,Subtraction
"एक खेत में 128 गायें थीं, 44 गायें बेच दी गईं। अब कितनी बचीं?",128 - 44,84,Subtraction
एक डिब्बे में 171 सेब हैं। ऐसे 129 डिब्बों में कुल कितने सेब होंगे?,171 * 129,22059,Multiplication
राम के पास 69 आम हैं और श्याम के पास 88 आम हैं। कुल कितने आम हैं?,69 + 88,157,Addition
82 बच्चों में 2 चॉकलेट बराबर बाँटी गईं। हर बच्चे को कितनी चॉकलेट मिली?,82 ÷ 2,41,Division
एक डिब्बे में 191 सेब हैं। ऐसे 97 डिब्बों में कुल कितने सेब होंगे?,191 * 97,18527,Multiplication
"एक खेत में 186 गायें थीं, 152 गायें बेच दी गईं। अब कितनी बचीं?",186 - 152,34,Subtraction
"एक खेत में 94 गायें थीं, 30 गायें बेच दी गईं। अब कितनी बचीं?",94 - 30,64,Subtraction
168 बच्चों में 12 चॉकलेट बराबर बाँटी गईं। हर बच्चे को कितनी चॉकलेट मिली?,168 ÷ 12,14,Division
राम के पास 1 आम हैं और श्याम के पास 52 आम हैं। कुल कितने आम हैं?,1 + 52,53,Addition
राम के पास 37 आम हैं और श्याम के पास 7 आम हैं। कुल कितने आम हैं?,37 + 7,44,Addition
36 बच्चों में 18 चॉकलेट बराबर बाँटी गईं। हर बच्चे को कितनी चॉकलेट मिली?,36 ÷ 18,2,Division
"एक खेत में 173 गायें थीं, 11 गायें बेच दी गईं। अब कितनी बचीं?",173 - 11,162,Subtraction
372 बच्चों में 12 चॉकलेट बराबर बाँटी गईं। हर बच्चे को कितनी चॉकलेट मिली?,372 ÷ 12,31,Division
राम के पास 87 आम हैं और श्याम के पास 74 आम हैं। कुल कितने आम हैं?,87 + 74,161,Addition
"एक खेत में 36 गायें थीं, 20 गायें बेच दी गईं। अब कितनी बचीं?",36 - 20,16,Subtraction
एक डिब्बे में 165 सेब हैं। ऐसे 200 डिब्बों में कुल कितने सेब होंगे?,165 * 200,33000,Multiplication
एक डिब्बे में 52 सेब हैं। ऐसे 75 डिब्बों में कुल कितने सेब होंगे?,52 * 75,3900,Multiplication
एक डिब्बे में 30 सेब हैं। ऐसे 154 डिब्बों में कुल कितने सेब होंगे?,30 * 154,4620,Multiplication
राम के पास 129 आम हैं और श्याम के पास 156 आम हैं। कुल कितने आम हैं?,129 + 156,285,Addition
"एक खेत में 182 गायें थीं, 87 गायें बेच दी गईं। अब कितनी बचीं?",182 - 87,95,Subtraction
186 बच्चों में 6 चॉकलेट बराबर बाँटी गईं। हर बच्चे को कितनी चॉकलेट मिली?,186 ÷ 6,31,Division
एक डिब्बे में 30 सेब हैं। ऐसे 163 डिब्बों में कुल कितने सेब होंगे?,30 * 163,4890,Multiplication
एक डिब्बे में 69 सेब हैं। ऐसे 89 डिब्बों में कुल कितने सेब होंगे?,69 * 89,6141,Multiplication
"एक खेत में 187 गायें थीं, 172 गायें बेच दी गईं। अब कितनी बचीं?",187 - 172,15,Subtraction
301 बच्चों में 7 चॉकलेट बराबर बाँटी गईं। हर बच्चे को कितनी चॉकलेट मिली?,301 ÷ 7,43,Division
132 बच्चों में 6 चॉकलेट बराबर बाँटी गईं। हर बच्चे को कितनी चॉकलेट मिली?,132 ÷ 6,22,Division
राम के पास 60 आम हैं और श्याम के पास 4 आम हैं। कुल कितने आम हैं?,60 + 4,64,Addition
"एक खेत में 75 गायें थीं, 14 गायें बेच दी गईं। अब कितनी बचीं?",75 - 14,61,Subtraction
एक डिब्बे में 112 सेब हैं। ऐसे 107 डिब्बों में कुल कितने सेब होंगे?,112 * 107,11984,Multiplication
"एक खेत में 91 गायें थीं, 77 गायें बेच दी गईं। अब कितनी बचीं?",91 - 77,14,Subtraction
180 बच्चों में 20 चॉकलेट बराबर बाँटी गईं। हर बच्चे को कितनी चॉकलेट मिली?,180 ÷ 20,9,Division
"एक खेत में 184 गायें थीं, 58 गायें बेच दी गईं। अब कितनी बचीं?",184 - 58,126,Subtraction
"एक खेत में 69 गायें थीं, 40 गायें बेच दी गईं। अब कितनी बचीं?",69 - 40,29,Subtraction
एक डिब्बे में 141 सेब हैं। ऐसे 54 डिब्बों में कुल कितने सेब होंगे?,141 * 54,7614,Multiplication
राम के पास 39 आम हैं और श्याम के पास 177 आम हैं। कुल कितने आम हैं?,39 + 177,216,Addition
राम के पास 12 आम हैं और श्याम के पास 73 आम हैं। कुल कितने आम हैं?,12 + 73,85,Addition
128 बच्चों में 8 चॉकलेट बराबर बाँटी गईं। हर बच्चे को कितनी चॉकलेट मिली?,128 ÷ 8,16,Division
एक डिब्बे में 148 सेब हैं। ऐसे 163 डिब्बों में कुल कितने सेब होंगे?,148 * 163,24124,Multiplication
"एक खेत में 104 गायें थीं, 2 गायें बेच दी गईं। अब कितनी बचीं?",104 - 2,102,Subtraction
एक डिब्बे में 78 सेब हैं। ऐसे 186 डिब्बों में कुल कितने सेब होंगे?,78 * 186,14508,Multiplication
"एक खेत में 151 गायें थीं, 119 गायें बेच दी गईं। अब कितनी बचीं?",151 - 119,32,Subtraction
"एक खेत में 185 गायें थीं, 70 गायें बेच दी गईं। अब कितनी बचीं?",185 - 70,115,Subtraction
"एक खेत में 68 गायें थीं, 39 गायें बेच दी गईं। अब कितनी बचीं?",68 - 39,29,Subtraction
राम के पास 93 आम हैं और श्याम के पास 193 आम हैं। कुल कितने आम हैं?,93 + 193,286,Addition
"एक खेत में 41 गायें थीं, 12 गायें बेच दी गईं। अब कितनी बचीं?",41 - 12,29,Subtraction
राम के पास 166 आम हैं और श्याम के पास 126 आम हैं। कुल कितने आम हैं?,166 + 126,292,Addition
"एक खेत में 101 गायें थीं, 32 गायें बेच दी गईं। अब कितनी बचीं?",101 - 32,69,Subtraction
एक डिब्बे में 68 सेब हैं। ऐसे 171 डिब्बों में कुल कितने सेब होंगे?,68 * 171,11628,Multiplication
राम के पास 157 आम हैं और श्याम के पास 182 आम हैं। कुल कितने आम हैं?,157 + 182,339,Addition
"एक खेत में 139 गायें थीं, 94 गायें बेच दी गईं। अब कितनी बचीं?",139 - 94,45,Subtraction
एक डिब्बे में 86 सेब हैं। ऐसे 145 डिब्बों में कुल कितने सेब होंगे?,86 * 145,12470,Multiplication
54 बच्चों में 6 चॉकलेट बराबर बाँटी गईं। हर बच्चे को कितनी चॉकलेट मिली?,54 ÷ 6,9,Division
एक डिब्बे में 54 सेब हैं। ऐसे 108 डिब्बों में कुल कितने सेब होंगे?,54 * 108,5832,Multiplication
एक डिब्बे में 192 सेब हैं। ऐसे 149 डिब्बों में कुल कितने सेब होंगे?,192 * 149,28608,Multiplication
"एक खेत में 128 गायें थीं, 90 गायें बेच दी गईं। अब कितनी बचीं?",128 - 90,38,Subtraction
राम के पास 83 आम हैं और श्याम के पास 127 आम हैं। कुल कितने आम हैं?,83 + 127,210,Addition
राम के पास 95 आम हैं और श्याम के पास 182 आम हैं। कुल कितने आम हैं?,95 + 182,277,Addition
26 बच्चों में 1 चॉकलेट बराबर बाँटी गईं। हर बच्चे को कितनी चॉकलेट मिली?,26 ÷ 1,26,Division
280 बच्चों में 8 चॉकलेट बराबर बाँटी गईं। हर बच्चे को कितनी चॉकलेट मिली?,280 ÷ 8,35,Division
150 बच्चों में 5 चॉकलेट बराबर बाँटी गईं। हर बच्चे को कितनी चॉकलेट मिली?,150 ÷ 5,30,Division
राम के पास 61 आम हैं और श्याम के पास 147 आम हैं। कुल कितने आम हैं?,61 + 147,208,Addition
एक डिब्बे में 73 सेब हैं। ऐसे 158 डिब्बों में कुल कितने सेब होंगे?,73 * 158,11534,Multiplication
राम के पास 63 आम हैं और श्याम के पास 187 आम हैं। कुल कितने आम हैं?,63 + 187,250,Addition
705 बच्चों में 15 चॉकलेट बराबर बाँटी गईं। हर बच्चे को कितनी चॉकलेट मिली?,705 ÷ 15,47,Division
270 बच्चों में 9 चॉकलेट बराबर बाँटी गईं। हर बच्चे को कितनी चॉकलेट मिली?,270 ÷ 9,30,Division
"एक खेत में 170 गायें थीं, 13 गायें बेच दी गईं। अब कितनी बचीं?",170 - 13,157,Subtraction
238 बच्चों में 7 चॉकलेट बराबर बाँटी गईं। हर बच्चे को कितनी चॉकलेट मिली?,238 ÷ 7,34,Division
"एक खेत में 170 गायें थीं, 170 गायें बेच दी गईं। अब कितनी बचीं?",170 - 170,0,Subtraction
राम के पास 187 आम हैं और श्याम के पास 169 आम हैं। कुल कितने आम हैं?,187 + 169,356,Addition
"एक खेत में 173 गायें थीं, 55 गायें बेच दी गईं। अब कितनी बचीं?",173 - 55,118,Subtraction
"एक खेत में 85 गायें थीं, 34 गायें बेच दी गईं। अब कितनी बचीं?",85 - 34,51,Subtraction
एक डिब्बे में 78 सेब हैं। ऐसे 119 डिब्बों में कुल कितने सेब होंगे?,78 * 119,9282,Multiplication
एक डिब्बे में 126 सेब हैं। ऐसे 60 डिब्बों में कुल कितने सेब होंगे?,126 * 60,7560,Multiplication
940 बच्चों में 20 चॉकलेट बराबर बाँटी गईं। हर बच्चे को कितनी चॉकलेट मिली?,940 ÷ 20,47,Division
"एक खेत में 50 गायें थीं, 10 गायें बेच दी गईं। अब कितनी बचीं?",50 - 10,40,Subtraction
704 बच्चों में 16 चॉकलेट बराबर बाँटी गईं। हर बच्चे को कितनी चॉकलेट मिली?,704 ÷ 16,44,Division
एक डिब्बे में 15 सेब हैं। ऐसे 68 डिब्बों में कुल कितने सेब होंगे?,15 * 68,1020,Multiplication
"एक खेत में 88 गायें थीं, 38 गायें बेच दी गईं। अब कितनी बचीं?",88 - 38,50,Subtraction
एक डिब्बे में 107 सेब हैं। ऐसे 89 डिब्बों में कुल कितने सेब होंगे?,107 * 89,9523,Multiplication
560 बच्चों में 14 चॉकलेट बराबर बाँटी गईं। हर बच्चे को कितनी चॉकलेट मिली?,560 ÷ 14,40,Division
"एक खेत में 133 गायें थीं, 7 गायें बेच दी गईं। अब कितनी बचीं?",133 - 7,126,Subtraction
"एक खेत में 122 गायें थीं, 113 गायें बेच दी गईं। अब कितनी बचीं?",122 - 113,9,Subtraction
राम के पास 54 आम हैं और श्याम के पास 122 आम हैं। कुल कितने आम हैं?,54 + 122,176,Addition
"एक खेत में 77 गायें थीं, 7 गायें बेच दी गईं। अब कितनी बचीं?",77 - 7,70,Subtraction
एक डिब्बे में 115 सेब हैं। ऐसे 50 डिब्बों में कुल कितने सेब होंगे?,115 * 50,5750,Multiplication
राम के पास 75 आम हैं और श्याम के पास 183 आम हैं। कुल कितने आम हैं?,75 + 183,258,Addition
राम के पास 60 आम हैं और श्याम के पास 14 आम हैं। कुल कितने आम हैं?,60 + 14,74,Addition
राम के पास 147 आम हैं और श्याम के पास 152 आम हैं। कुल कितने आम हैं?,147 + 152,299,Addition
"एक खेत में 107 गायें थीं, 69 गायें बेच दी गईं। अब कितनी बचीं?",107 - 69,38,Subtraction
"एक खेत में 189 गायें थीं, 37 गायें बेच दी गईं। अब कितनी बचीं?",189 - 37,152,Subtraction
"एक खेत में 138 गायें थीं, 64 गायें बेच दी गईं। अब कितनी बचीं?",138 - 64,74,Subtraction
एक डिब्बे में 79 सेब हैं। ऐसे 199 डिब्बों में कुल कितने सेब होंगे?,79 * 199,15721,Multiplication
"एक खेत में 195 गायें थीं, 69 गायें बेच दी गईं। अब कितनी बचीं?",195 - 69,126,Subtraction
8 बच्चों में 1 चॉकलेट बराबर बाँटी गईं। हर बच्चे को कितनी चॉकलेट मिली?,8 ÷ 1,8,Division
राम के पास 172 आम हैं और श्याम के पास 129 आम हैं। कुल कितने आम हैं?,172 + 129,301,Addition
एक डिब्बे में 155 सेब हैं। ऐसे 159 डिब्बों में कुल कितने सेब होंगे?,155 * 159,24645,Multiplication
"एक खेत में 77 गायें थीं, 58 गायें बेच दी गईं। अब कितनी बचीं?",77 - 58,19,Subtraction
"एक खेत में 105 गायें थीं, 53 गायें बेच दी गईं। अब कितनी बचीं?",105 - 53,52,Subtraction
"एक खेत में 166 गायें थीं, 123 गायें बेच दी गईं। अब कितनी बचीं?",166 - 123,43,Subtraction
"एक खेत में 170 गायें थीं, 123 गायें बेच दी गईं। अब कितनी बचीं?",170 - 123,47,Subtraction
"एक खेत में 169 गायें थीं, 20 गायें बेच दी गईं। अब कितनी बचीं?",169 - 20,149,Subtraction
एक डिब्बे में 197 सेब हैं। ऐसे 121 डिब्बों में कुल कितने सेब होंगे?,197 * 121,23837,Multiplication
108 बच्चों में 6 चॉकलेट बराबर बाँटी गईं। हर बच्चे को कितनी चॉकलेट मिली?,108 ÷ 6,18,Division
एक डिब्बे में 53 सेब हैं। ऐसे 35 डिब्बों में कुल कितने सेब होंगे?,53 * 35,1855,Multiplication
119 बच्चों में 17 चॉकलेट बराबर बाँटी गईं। हर बच्चे को कितनी चॉकलेट मिली?,119 ÷ 17,7,Division
240 बच्चों में 5 चॉकलेट बराबर बाँटी गईं। हर बच्चे को कितनी चॉकलेट मिली?,240 ÷ 5,48,Division
400 बच्चों में 10 चॉकलेट बराबर बाँटी गईं। हर बच्चे को कितनी चॉकलेट मिली?,400 ÷ 10,40,Division
16 बच्चों में 1 चॉकलेट बराबर बाँटी गईं। हर बच्चे को कितनी चॉकलेट मिली?,16 ÷ 1,16,Division
50 बच्चों में 5 चॉकलेट बराबर बाँटी गईं। हर बच्चे को कितनी चॉकलेट मिली?,50 ÷ 5,10,Division
एक डिब्बे में 178 सेब हैं। ऐसे 93 डिब्बों में कुल कितने सेब होंगे?,178 * 93,16554,Multiplication
एक डिब्बे में 76 सेब हैं। ऐसे 74 डिब्बों में कुल कितने सेब होंगे?,76 * 74,5624,Multiplication
एक डिब्बे में 194 सेब हैं। ऐसे 150 डिब्बों में कुल कितने सेब होंगे?,194 * 150,29100,Multiplication
राम के पास 112 आम हैं और श्याम के पास 198 आम हैं। कुल कितने आम हैं?,112 + 198,310,Addition
एक डिब्बे में 134 सेब हैं। ऐसे 156 डिब्बों में कुल कितने सेब होंगे?,134 * 156,20904,Multiplication
"एक खेत में 184 गायें थीं, 158 गायें बेच दी गईं। अब कितनी बचीं?",184 - 158,26,Subtraction
एक डिब्बे में 25 सेब हैं। ऐसे 32 डिब्बों में कुल कितने सेब होंगे?,25 * 32,800,Multiplication
राम के पास 126 आम हैं और श्याम के पास 20 आम हैं। कुल कितने आम हैं?,126 + 20,146,Addition
"एक खेत में 130 गायें थीं, 124 गायें बेच दी गईं। अब कितनी बचीं?",130 - 124,6,Subtraction
एक डिब्बे में 16 सेब हैं। ऐसे 130 डिब्बों में कुल कितने सेब होंगे?,16 * 130,2080,Multiplication
राम के पास 194 आम हैं और श्याम के पास 184 आम हैं। कुल कितने आम हैं?,194 + 184,378,Addition
एक डिब्बे में 110 सेब हैं। ऐसे 59 डिब्बों में कुल कितने सेब होंगे?,110 * 59,6490,Multiplication
एक डिब्बे में 170 सेब हैं। ऐसे 88 डिब्बों में कुल कितने सेब होंगे?,170 * 88,14960,Multiplication
"एक खेत में 197 गायें थीं, 150 गायें बेच दी गईं। अब कितनी बचीं?",197 - 150,47,Subtraction
330 बच्चों में 10 चॉकलेट बराबर बाँटी गईं। हर बच्चे को कितनी चॉकलेट मिली?,330 ÷ 10,33,Division
"एक खेत में 200 गायें थीं, 63 गायें बेच दी गईं। अब कितनी बचीं?",200 - 63,137,Subtraction
252 बच्चों में 12 चॉकलेट बराबर बाँटी गईं। हर बच्चे को कितनी चॉकलेट मिली?,252 ÷ 12,21,Division
504 बच्चों में 18 चॉकलेट बराबर बाँटी गईं। हर बच्चे को कितनी चॉकलेट मिली?,504 ÷ 18,28,Division
"एक खेत में 171 गायें थीं, 149 गायें बेच दी गईं। अब कितनी बचीं?",171 - 149,22,Subtraction
एक डिब्बे में 22 सेब हैं। ऐसे 81 डिब्बों में कुल कितने सेब होंगे?,22 * 81,1782,Multiplication
एक डिब्बे में 102 सेब हैं। ऐसे 76 डिब्बों में कुल कितने सेब होंगे?,102 * 76,7752,Multiplication
एक डिब्बे में 25 सेब हैं। ऐसे 120 डिब्बों में कुल कितने सेब होंगे?,25 * 120,3000,Multiplication
"एक खेत में 156 गायें थीं, 49 गायें बेच दी गईं। अब कितनी बचीं?",156 - 49,107,Subtraction
133 बच्चों में 19 चॉकलेट बराबर बाँटी गईं। हर बच्चे को कितनी चॉकलेट मिली?,133 ÷ 19,7,Division
70 बच्चों में 14 चॉकलेट बराबर बाँटी गईं। हर बच्चे को कितनी चॉकलेट मिली?,70 ÷ 14,5,Division
98 बच्चों में 7 चॉकलेट बराबर बाँटी गईं। हर बच्चे को कितनी चॉकलेट मिली?,98 ÷ 7,14,Division
144 बच्चों में 12 चॉकलेट बराबर बाँटी गईं। हर बच्चे को कितनी चॉकलेट मिली?,144 ÷ 12,12,Division
"एक खेत में 185 गायें थीं, 115 गायें बेच दी गईं। अब कितनी बचीं?",185 - 115,70,Subtraction
"एक खेत में 64 गायें थीं, 23 गायें बेच दी गईं। अब कितनी बचीं?",64 - 23,41,Subtraction
एक डिब्बे में 152 सेब हैं। ऐसे 153 डिब्बों में कुल कितने सेब होंगे?,152 * 153,23256,Multiplication
495 बच्चों में 11 चॉकलेट बराबर बाँटी गईं। हर बच्चे को कितनी चॉकलेट मिली?,495 ÷ 11,45,Division
350 बच्चों में 7 चॉकलेट बराबर बाँटी गईं। हर बच्चे को कितनी चॉकलेट मिली?,350 ÷ 7,50,Division
एक डिब्बे में 58 सेब हैं। ऐसे 45 डिब्बों में कुल कितने सेब होंगे?,58 * 45,2610,Multiplication
"एक खेत में 179 गायें थीं, 72 गायें बेच दी गईं। अब कितनी बचीं?",179 - 72,107,Subtraction
राम के पास 98 आम हैं और श्याम के पास 35 आम हैं। कुल कितने आम हैं?,98 + 35,133,Addition
एक डिब्बे में 141 सेब हैं। ऐसे 105 डिब्बों में कुल कितने सेब होंगे?,141 * 105,14805,Multiplication
"एक खेत में 160 गायें थीं, 143 गायें बेच दी गईं। अब कितनी बचीं?",160 - 143,17,Subtraction
एक डिब्बे में 48 सेब हैं। ऐसे 108 डिब्बों में कुल कितने सेब होंगे?,48 * 108,5184,Multiplication
736 बच्चों में 16 चॉकलेट बराबर बाँटी गईं। हर बच्चे को कितनी चॉकलेट मिली?,736 ÷ 16,46,Division
"एक खेत में 142 गायें थीं, 70 गायें बेच दी गईं। अब कितनी बचीं?",142 - 70,72,Subtraction
एक डिब्बे में 157 सेब हैं। ऐसे 85 डिब्बों में कुल कितने सेब होंगे?,157 * 85,13345,Multiplication
एक डिब्बे में 78 सेब हैं। ऐसे 121 डिब्बों में कुल कितने सेब होंगे?,78 * 121,9438,Multiplication
राम के पास 104 आम हैं और श्याम के पास 19 आम हैं। कुल कितने आम हैं?,104 + 19,123,Addition
राम के पास 119 आम हैं और श्याम के पास 1 आम हैं। कुल कितने आम हैं?,119 + 1,120,Addition
राम के पास 175 आम हैं और श्याम के पास 168 आम हैं। कुल कितने आम हैं?,175 + 168,343,Addition
30 बच्चों में 6 चॉकलेट बराबर बाँटी गईं। हर बच्चे को कितनी चॉकलेट मिली?,30 ÷ 6,5,Division
राम के पास 86 आम हैं और श्याम के पास 163 आम हैं। कुल कितने आम हैं?,86 + 163,249,Addition
"एक खेत में 62 गायें थीं, 12 गायें बेच दी गईं। अब कितनी बचीं?",62 - 12,50,Subtraction
एक डिब्बे में 95 सेब हैं। ऐसे 64 डिब्बों में कुल कितने सेब होंगे?,95 * 64,6080,Multiplication
एक डिब्बे में 97 सेब हैं। ऐसे 89 डिब्बों में कुल कितने सेब होंगे?,97 * 89,8633,Multiplication
राम के पास 154 आम हैं और श्याम के पास 130 आम हैं। कुल कितने आम हैं?,154 + 130,284,Addition
"एक खेत में 170 गायें थीं, 67 गायें बेच दी गईं। अब कितनी बचीं?",170 - 67,103,Subtraction
"एक खेत में 14 गायें थीं, 6 गायें बेच दी गईं। अब कितनी बचीं?",14-Jun,8,Subtraction
80 बच्चों में 8 चॉकलेट बराबर बाँटी गईं। हर बच्चे को कितनी चॉकलेट मिली?,80 ÷ 8,10,Division
456 बच्चों में 19 चॉकलेट बराबर बाँटी गईं। हर बच्चे को कितनी चॉकलेट मिली?,456 ÷ 19,24,Division
640 बच्चों में 20 चॉकलेट बराबर बाँटी गईं। हर बच्चे को कितनी चॉकलेट मिली?,640 ÷ 20,32,Division
एक डिब्बे में 87 सेब हैं। ऐसे 121 डिब्बों में कुल कितने सेब होंगे?,87 * 121,10527,Multiplication
"एक खेत में 177 गायें थीं, 22 गायें बेच दी गईं। अब कितनी बचीं?",177 - 22,155,Subtraction
"एक खेत में 84 गायें थीं, 10 गायें बेच दी गईं। अब कितनी बचीं?",84 - 10,74,Subtraction
282 बच्चों में 6 चॉकलेट बराबर बाँटी गईं। हर बच्चे को कितनी चॉकलेट मिली?,282 ÷ 6,47,Division
"एक खेत में 46 गायें थीं, 38 गायें बेच दी गईं। अब कितनी बचीं?",46 - 38,8,Subtraction
एक डिब्बे में 38 सेब हैं। ऐसे 156 डिब्बों में कुल कितने सेब होंगे?,38 * 156,5928,Multiplication
"एक खेत में 132 गायें थीं, 81 गायें बेच दी गईं। अब कितनी बचीं?",132 - 81,51,Subtraction
"एक खेत में 53 गायें थीं, 31 गायें बेच दी गईं। अब कितनी बचीं?",53 - 31,22,Subtraction
एक डिब्बे में 62 सेब हैं। ऐसे 98 डिब्बों में कुल कितने सेब होंगे?,62 * 98,6076,Multiplication
राम के पास 197 आम हैं और श्याम के पास 178 आम हैं। कुल कितने आम हैं?,197 + 178,375,Addition
एक डिब्बे में 111 सेब हैं। ऐसे 144 डिब्बों में कुल कितने सेब होंगे?,111 * 144,15984,Multiplication
"एक खेत में 142 गायें थीं, 21 गायें बेच दी गईं। अब कितनी बचीं?",142 - 21,121,Subtraction
एक डिब्बे में 12 सेब हैं। ऐसे 116 डिब्बों में कुल कितने सेब होंगे?,12 * 116,1392,Multiplication
374 बच्चों में 11 चॉकलेट बराबर बाँटी गईं। हर बच्चे को कितनी चॉकलेट मिली?,374 ÷ 11,34,Division
468 बच्चों में 13 चॉकलेट बराबर बाँटी गईं। हर बच्चे को कितनी चॉकलेट मिली?,468 ÷ 13,36,Division
20 बच्चों में 2 चॉकलेट बराबर बाँटी गईं। हर बच्चे को कितनी चॉकलेट मिली?,20 ÷ 2,10,Division
165 बच्चों में 15 चॉकलेट बराबर बाँटी गईं। हर बच्चे को कितनी चॉकलेट मिली?,165 ÷ 15,11,Division
432 बच्चों में 18 चॉकलेट बराबर बाँटी गईं। हर बच्चे को कितनी चॉकलेट मिली?,432 ÷ 18,24,Division
राम के पास 39 आम हैं और श्याम के पास 121 आम हैं। कुल कितने आम हैं?,39 + 121,160,Addition
राम के पास 178 आम हैं और श्याम के पास 175 आम हैं। कुल कितने आम हैं?,178 + 175,353,Addition
राम के पास 109 आम हैं और श्याम के पास 20 आम हैं। कुल कितने आम हैं?,109 + 20,129,Addition
255 बच्चों में 15 चॉकलेट बराबर बाँटी गईं। हर बच्चे को कितनी चॉकलेट मिली?,255 ÷ 15,17,Division
"एक खेत में 172 गायें थीं, 157 गायें बेच दी गईं। अब कितनी बचीं?",172 - 157,15,Subtraction
"एक खेत में 96 गायें थीं, 93 गायें बेच दी गईं। अब कितनी बचीं?",96 - 93,3,Subtraction
एक डिब्बे में 60 सेब हैं। ऐसे 132 डिब्बों में कुल कितने सेब होंगे?,60 * 132,7920,Multiplication
"एक खेत में 104 गायें थीं, 58 गायें बेच दी गईं। अब कितनी बचीं?",104 - 58,46,Subtraction
राम के पास 103 आम हैं और श्याम के पास 117 आम हैं। कुल कितने आम हैं?,103 + 117,220,Addition
